Badanie;Placówka;Cena
P/C PRZECIW BŁONIE PODSTAWNEJ NABŁONKA;Dzierżoniów, ul. Bohaterów Getta 5;124.0
LUTEOTROPINA (LH) (L67);Wrocław, ul. Vivaldiego 98;41.0
P/C PRZECIWKO BIAŁKU ZWIĄZANEMU Z RECEPTOREM LIPOPROTEINY O NISKIEJ GĘSTOŚCI 4 (ANTY-LRP4);Borki, ul. Elektrowniana 24;138.7
KURZ HOLLISTER-STIER (H2) - IGE SWOISTE (L91);Wejherowo, ul. Rzeźnicka 1A/3;68.0
PHADIATOP MET. UNI CAP. (PHAD) (L91);Gdańsk, ul. Wileńska 44;74.0
FIBRYNOGEN (G53);Zielona Góra, ul. Bohaterów Westerplatte 39;30.0
MORELA(F237) - IGE SWOISTE (L91);Otwock, ul. Batorego 44;61.0
POSIEW ZE ZMIAN SKÓRNYCH - TLENOWO (91.831);Sokołów Podlaski, ul. Piłsudskiego 10/3U;68.0
LIT (M73);Szczecin, ul. Energetyków 2;60.0
WYKRYWANIE RNA WIRUSA ZIKA;Tarnobrzeg, ul. Słomki 1;551.0
P/C PRZECIW GLIADYNIE-IGA;Olsztyn, ul. Janowicza 3i;92.0
TOXOPLASMA GONDII PRZECIWCIAŁA IGG (X41);Nowogard, ul. 3 Maja 46;59.0
OZNACZANIE GENOTYPU WIRUSA HBV;Gdynia, ul. Okrzei 7/9;465.0
AMYLAZA W MOCZU (I25);Plewiska, ul. Grunwaldzka 515c/14-15;27.0
KANABINOIDY (THC) (P44);Nowe Miasto nad Pilicą, ul. Tomaszowska 43;65.0
WITAMINA B2 (RYBOFLAWINA);Szamotuły, ul. Wroniecka 33;210.0
CEBULA (F-48) - IGE SWOISTE (L91);Poznań, ul. Szwajcarska 1A;61.0
WYKRYWANIE DNA PNEUMOCYSTIS JIROVECI METODĄ REAL TIME-PCR;Legnica, ul. Złotoryjska 66;147.0
RAPI M 3 PSZCZOŁA MIODNA, KWAŚNA FOSFATAZA (I215) IGE SWOISTE (L91);Połczyn-Zdrój, ul. Zdrojowa 6;54.0
P/C PRZECIW BŁONIE PODSTAWNEJ KANALIKÓW NERKOWYCH;Dębica, ul. Poddęby 6;119.0
NART V 3 BYLICA POSPOLITA (W-233) IGE SWOISTE (L91);Lublewo Gdańskie, ul. Wybickiego 67;85.0
PENICILLIUM CHRYSOGENUM (M1) - IGE SWOISTE (L91);Warszawa, ul. Włodarzewska 83 lok u6;61.0
RCAN F 5 PIES (E-226) IGE SWOISTE (L91);Szamotuły, ul. Wroniecka 33;61.0
KREATYNINA W MOCZU ZE ZBIÓRKI DOBOWEJ (M37);Łomża, al. Legionów 60B;22.0
MYCOPLASMA FERMENTANS DNA;Gliwice, ul. Zwycięstwa 10;433.0
P/C PRZECIW CHLAMYDIA TRACHOMATIS, PNEUMONIAE I PSITTACI – IGA – TEST POTWIERDZENIA (WESTERN BLOT);Wrocław, ul. Stabłowicka 125;399.0
D-DIMERY (G49);Gdańsk, ul. Hynka 18 lokal U4;55.0
INSULINA WOŁOWA (C71) - IGE SWOISTE (L91);Elbląg, ul. 3 maja 12-14;65.0
NANA C 2  ANANAS (K-202 ) IGE SWOISTE (L91);Warszawa, ul. Rembielińska 8;61.0
PROFIL STEROIDOWY W MOCZU (METODA GC/MS);Opole, ul. Ozimska 181;916.0
FOODPROFIL  88 IGG;Rzeszów, ul. Sobieskiego 2d/2;970.0
P/C PRZECIW YERSINIA ENTEROCOLITICA IGA – MET. WESTERN BLOT (U93);Warszawa, ul. Opaczewska 43 lok. 18;266.0
NOD2 (C.3020INSC) – BADANIE MUTACJI C.3020INSC  W OBRĘBIE GENU NOD2 (PREDYSPOZYCJA DO RAKA JELITA GRUBEGO, PŁUC, PIERSI, JAJNIKA) METODĄ SEKWENCJONOWANIA SANGERA;Legionowo, ul. Jagiellońska 18;162.0
GLIN W MOCZU (P39);Działdowo, ul. Hallera 28B;146.0
PROGNOZOWANIE TERAPII ZAKAŻENIA HCV - WYKRYWANIE OBECNOŚCI POLIMORFIZMÓW RS12979860 ORAZ RS8099917 GENU INTERLEUKINY 28B (IL28B);Warszawa, ul. Rembrandta 2 lok U11;399.0
SERWATKA KROWIA (F236) - IGE SWOISTE (L91);Warszawa, ul. Rzeczypospolitej 20;69.0
KORTYZOL – PROFIL PORANNY W ŚLINIE (5 POMIARÓW);Dębica, ul. Krakowska 75B;357.0
PARAGRYPA TYP 1-3 - P/C IGA (V07);Pruszków, ul. Armii Krajowej 46;161.0
MIKROALBUMINURIA (I09);Siedlce, ul. Sienkiewicza 11;82.0
ANANAS (F210) - IGE SWOISTE (L91);Sieradz, ul. Jana Pawła II 3;69.0
P/C ANTYRYBOSOMALNE;Giżycko, ul. Olsztyńska 15a;125.0
MIESZANKA KURZU DOMOWEGO (HX2) (L91);Wodzisław Śląski, ul. Mendego 18;69.0
PANEL PRE-DNA BADANIE PREKONCEPCYJNE  300 CHORÓB, METODA NGS;Banino, ul. Lotnicza 86;3400.0
FORMALDEHYD (K80) - IGE SWOISTE (L91);Ełk, ul. Tuwima 20 lok U7;69.0
PROFIL AMINOKWASÓW;Łódź, ul. Turoszowska 4a;256.0
ANTYGEN RAKA PŁASKONABŁONKOWEGO SCC (I59);Ostrów Wielkopolski, ul. Wolności 26/1;169.0
JEŻYNA (F-211) - IGE SWOISTE (L91);"Ostrołęka, ul. Gen. Augusta Emila Fieldorfa ""Nila"" 19";53.0
POSIEW Z NOSA ROZSZERZONY (91.831);Bełchatów, ul. Czapliniecka 93/95;76.0
P/C PRZECIW KOMPLEKSOM FOSFATYDYLOSERYNA /PROTROMBINA (APS/PT) IGM;Zambrów, ul. Białostocka 24;251.0
TEST KOMPLEKSOWY STANU FUNKCJONALNOŚCI JELITA;Międzyrzecz, ul. Zachodnia 1B;1097.0
INSULINA WIEPRZOWA (C70) - IGE SWOISTE (L91);Wejherowo, ul. Jana III Sobieskiego 281;59.0
ILOŚCIOWE OZNACZANIE DNA WIRUSA BKV METODĄ REAL TIME-PCR;Lublin, ul. Hipoteczna 4;244.0
PROFIL MYOSITIS ( PROFIL ZAPALENIA MIĘŚNI).;Kartuzy, ul. Gdańska 14;208.0
BIAŁKO S (G07);Szamotuły, ul. Wroniecka 33;161.0
WYKRYWANIE RNA WIRUSA HEV METODĄ PCR;Oława, ul. Kutrowskiego 41;789.0
BRUCELLA P/C IG G (S41);Kraków, os. Jagiellońskie 1;169.0
MIESZANKA GRYZONIE (EX70) - IGE SWOISTE (L91);Bytów, ul. Sychty 5 lokal 3B;70.0
CHLORDIAZEPOKSYD;Krotoszyn, ul. Piastowska 6;210.0
MIĘSA MIX 1 (FX23) - IGE SWOISTE (L91);Gdańsk, ul. Guderskiego 2;70.0
BADANIA BIOCHEMICZNE DO TESTU FMF (PAPP-A,  F-BHCG);Gdańsk, ul. Jaśkowa Dolina 132;156.0
CHEMIKALIA (PAX5) - IGE SWOISTE (L91);Wejherowo, ul. Rzeźnicka 1A/3;70.0
FRAGMENTACJA CHROMATYNY PLEMNIKOWEJ;Warszawa, ul. Mołdawska 7;399.0
MIESZANKA ORZECHÓW (FX1) - IGE SWOISTE (L91);Gdańsk, ul. Jaśkowa Dolina 132;70.0
NCAR P 1 PAPAJA (K-201 ) IGE SWOISTE (L91);Gdynia, ul. Karpińskiego 2;58.0
MIESZANKA POKARMOWA (FX15) (L91);Gdynia, ul. Karpińskiego 2;70.0
ANISAKIS SIMPLEX (P4) IGE SWOISTE (L91);Puck, ul. Wojska Polskiego 23;59.0
GALAKTOZA W MOCZU (L29);Gdańsk, ul. Grudziądzka 4A/101;60.0
KINAZA KREATYNOWA - IZOENZYM MM;Gdynia, ul. Gorczycowa 12B lok U4;68.0
MIESZANKA CHWASTÓW (WX1) - IGE SWOISTE (L91);Gdynia, ul. Gorczycowa 12B lok U4;70.0
BARBITURANY W SUROWICY (P13);Kraśnik, ul. Urzędowska 36F;279.0
